Title,Rating,Votes,Gross,Genre,Metascore,Certificate,Director,Year,Runtime
Sen to Chihiro no kamikakushi,8.6,"747,148",$10.06M," Adventure, Family",96,U,Hayao Miyazaki,2001,125 min
The Lion King,8.5,"1,041,158",$422.78M," Adventure, Drama",88,U,Roger Allers,1994,88 min
Hotaru no haka,8.5,"272,469",," Drama, War",94,U,Isao Takahata,1988,89 min
Kimi no na wa.,8.4,"259,975",$5.02M," Drama, Fantasy",79,U,Makoto Shinkai,2016,106 min
Spider-Man: Into the Spider-Verse,8.4,"510,227",$190.24M," Action, Adventure",87,U,Bob Persichetti,2018,117 min
Coco,8.4,"492,081",$209.73M," Adventure, Comedy",81,U,Lee Unkrich,2017,105 min
WALL·E,8.4,"1,100,175",$223.81M," Adventure, Family",95,U,Andrew Stanton,2008,98 min
Mononoke-hime,8.4,"388,925",$2.38M," Adventure, Fantasy",76,U,Hayao Miyazaki,1997,134 min
Up,8.3,"1,029,395",$293.00M," Adventure, Comedy",88,U,Pete Docter,2009,96 min
Toy Story 3,8.3,"826,193",$415.00M," Adventure, Comedy",92,U,Lee Unkrich,2010,103 min
Toy Story,8.3,"979,994",$191.80M," Adventure, Comedy",95,U,John Lasseter,1995,81 min
Inside Out,8.2,"701,106",$356.46M," Adventure, Comedy",94,U,Pete Docter,2015,95 min
Kimetsu no Yaiba: Mugen Ressha-Hen,8.2,"55,255",," Action, Adventure",72,UA,Haruo Sotozaki,2020,117 min
Hauru no ugoku shiro,8.2,"387,977",$4.71M," Adventure, Family",80,U,Hayao Miyazaki,2004,119 min
Finding Nemo,8.2,"1,031,038",$380.84M," Adventure, Comedy",90,U,Andrew Stanton,2003,100 min
Koe no katachi,8.1,"78,876",, Drama,78,16,Naoko Yamada,2016,130 min
Klaus,8.1,"146,042",," Adventure, Comedy",65,7,Sergio Pablos,2019,96 min
Ôkami kodomo no Ame to Yuki,8.1,"44,668",," Drama, Family",71,U,Mamoru Hosoda,2012,117 min
Mary and Max.,8.1,"176,615",," Comedy, Drama",,,Adam Elliot,2009,92 min
How to Train Your Dragon,8.1,"730,922",$217.58M," Action, Adventure",75,U,Dean DeBlois,2010,98 min
Ratatouille,8.1,"721,458",$206.45M," Adventure, Comedy",96,U,Brad Bird,2007,111 min
"Monsters, Inc.",8.1,"896,964",$289.92M," Adventure, Comedy",79,U,Pete Docter,2001,92 min
The Iron Giant,8.1,"192,045",$23.16M," Action, Adventure",85,U,Brad Bird,1999,86 min
Tonari no Totoro,8.1,"333,845",$1.11M," Comedy, Family",86,U,Hayao Miyazaki,1988,86 min
WolfWalkers,8,"31,618",," Adventure, Family",87,UA,Tomm Moore,2020,103 min
Soul,8,"319,513",," Adventure, Comedy",83,U,Pete Docter,2020,100 min
Zootopia,8,"490,842",," Adventure, Comedy",78,U,Byron Howard,2016,108 min
Kaguya-hime no Monogatari,8,"46,319",," Drama, Family",89,U,Isao Takahata,2013,137 min
Song of the Sea,8,"58,124",," Adventure, Drama",85,PG,Tomm Moore,2014,93 min
Persepolis,8,"94,517",," Biography, Drama",90,PG-13,Vincent Paronnaud,2007,96 min
The Incredibles,8,"725,314",$261.44M," Action, Adventure",90,U,Brad Bird,2004,115 min
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8,"53,842",," Action, Drama",,Not Rated,Hideaki Anno,1997,87 min
Pâfekuto burû,8,"74,701",," Crime, Drama",,A,Satoshi Kon,1997,81 min
Aladdin,8,"412,772",$217.35M," Adventure, Comedy",86,U,Ron Clements,1992,90 min
Beauty and the Beast,8,"450,780",," Family, Fantasy",95,U,Gary Trousdale,1991,84 min
Akira,8,"184,356",," Action, Drama",67,UA,Katsuhiro Ôtomo,1988,124 min
Tenkû no shiro Rapyuta,8,"165,250",," Adventure, Family",78,U,Hayao Miyazaki,1986,125 min
Kaze no tani no Naushika,8,"168,233",," Adventure, Sci-Fi",86,U,Hayao Miyazaki,1984,117 min
Fantastic Mr. Fox,7.9,"228,963",," Adventure, Comedy",83,U,Wes Anderson,2009,87 min
Shrek,7.9,"668,156",," Adventure, Comedy",84,U,Andrew Adamson,2001,90 min
Toy Story 2,7.9,"574,778",," Adventure, Comedy",88,U,John Lasseter,1999,92 min
Mimi wo sumaseba,7.9,"62,107",," Drama, Family",75,U,Yoshifumi Kondô,1995,111 min
Kôkaku Kidôtai,7.9,"142,032",," Action, Crime",76,UA,Mamoru Oshii,1995,83 min
The Nightmare Before Christmas,7.9,"330,540",," Family, Fantasy",82,U,Henry Selick,1993,76 min
Doragon bôru chô: Burorî,7.8,"27,232",," Action, Adventure",59,UA,Tatsuya Nagamine,2018,100 min
Isle of Dogs,7.8,"166,539",," Adventure, Comedy",82,U,Wes Anderson,2018,101 min
Loving Vincent,7.8,"57,727",," Biography, Crime",62,UA,Dorota Kobiela,2017,94 min
Big Hero 6,7.8,"456,307",," Action, Adventure",74,U,Don Hall,2014,102 min
How to Train Your Dragon 2,7.8,"332,536",," Action, Adventure",77,U,Dean DeBlois,2014,102 min
Tôkyô goddofâzâzu,7.8,"39,951",," Adventure, Comedy",73,UA,Satoshi Kon,2003,90 min
Sennen joyû,7.8,"27,967",$0.19M," Drama, Fantasy",70,PG,Satoshi Kon,2001,87 min
Cowboy Bebop: Tengoku no tobira,7.8,"48,674",$1.00M," Action, Crime",61,U,Shin'ichirô Watanabe,2001,115 min
Jûbê ninpûchô,7.8,"37,510",," Action, Adventure",,A,Yoshiaki Kawajiri,1993,94 min
Batman: Mask of the Phantasm,7.8,"50,800",$5.62M," Action, Adventure",65,PG,Kevin Altieri,1993,76 min
Majo no takkyûbin,7.8,"143,013",," Adventure, Family",83,U,Hayao Miyazaki,1989,103 min
Kubo and the Two Strings,7.7,"128,540",$48.02M," Action, Adventure",84,U,Travis Knight,2016,101 min
The Breadwinner,7.7,"25,319",$0.31M," Drama, Family",78,U,Nora Twomey,2017,94 min
Omoide no Mânî,7.7,"40,332",$0.77M," Drama, Family",72,U,Hiromasa Yonebayashi,2014,103 min
Ma vie de Courgette,7.7,"25,421",$0.29M," Comedy, Drama",85,PG-13,Claude Barras,2016,66 min
Kaze tachinu,7.7,"85,123",$5.21M," Biography, Drama",83,Not Rated,Hayao Miyazaki,2013,126 min
Toy Story 4,7.7,"245,779",$434.04M," Adventure, Comedy",84,U,Josh Cooley,2019,100 min
Wreck-It Ralph,7.7,"418,352",$189.42M," Adventure, Comedy",72,U,Rich Moore,2012,101 min
Le Petit Prince,7.7,"61,997",$1.34M," Adventure, Drama",70,PG,Mark Osborne,2015,108 min
The Lego Movie,7.7,"352,065",$257.76M," Action, Adventure",83,U,Phil Lord,2014,100 min
Papurika,7.7,"82,642",$0.88M," Drama, Fantasy",81,U,Satoshi Kon,2006,90 min
Toki o kakeru shôjo,7.7,"66,081",," Adventure, Comedy",,U,Mamoru Hosoda,2006,98 min
Tangled,7.7,"447,447",$200.82M," Adventure, Comedy",71,U,Nathan Greno,2010,100 min
Coraline,7.7,"224,221",$75.29M," Drama, Family",80,U,Henry Selick,2009,100 min
Les triplettes de Belleville,7.7,"54,466",$7.00M," Comedy, Drama",91,PG-13,Sylvain Chomet,2003,80 min
Waking Life,7.7,"64,147",$2.89M," Drama, Fantasy",83,R,Richard Linklater,2001,99 min
"South Park: Bigger, Longer & Uncut",7.7,"204,110",$52.04M," Comedy, Fantasy",73,A,Trey Parker,1999,81 min
Kurenai no buta,7.7,"89,026",," Adventure, Comedy",83,U,Hayao Miyazaki,1992,94 min
Who Framed Roger Rabbit,7.7,"200,051",$156.45M," Adventure, Comedy",83,U,Robert Zemeckis,1988,104 min
La planète sauvage,7.7,"31,226",$0.19M, Sci-Fi,73,U,René Laloux,1973,72 min
Fantasia,7.7,"96,094",$76.41M," Family, Fantasy",96,U,James Algar,1940,125 min
The Mitchells vs the Machines,7.6,"105,707",," Adventure, Comedy",81,13,Michael Rianda,2021,114 min
Incredibles 2,7.6,"292,218",$608.58M," Action, Adventure",80,UA,Brad Bird,2018,118 min
Moana,7.6,"329,295",$248.76M," Adventure, Comedy",81,U,Ron Clements,2016,107 min
Despicable Me,7.6,"542,379",$251.51M," Adventure, Comedy",72,U,Pierre Coffin,2010,95 min
Gake no ue no Ponyo,7.6,"142,408",$15.09M," Adventure, Comedy",86,U,Hayao Miyazaki,2008,101 min
Kung Fu Panda,7.6,"463,897",$215.43M," Action, Adventure",74,U,Mark Osborne,2008,92 min
Mulan,7.6,"284,542",$120.62M," Adventure, Comedy",71,U,Tony Bancroft,1998,88 min
The Little Mermaid,7.6,"260,026",$111.54M," Adventure, Comedy",88,U,Ron Clements,1989,83 min
The Jungle Book,7.6,"181,528",$141.84M," Adventure, Comedy",65,U,Wolfgang Reitherman,1967,78 min
Snow White and the Seven Dwarfs,7.6,"197,860",$184.93M," Adventure, Family",95,U,William Cottrell,1937,83 min
